"Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
0.596669197121783,0.473727282638685,0.159737929998804,0.987811292173503,0.368886019941796,0.183754139103239,0.265856441759432,"positive"
0.526788276931919,0.420414714580723,0.16173845850774,0.944729528657094,0.237160146407194,0.164285830666435,0.220912846566931,"positive"
0.589593574388369,0.49101296690835,0.165236235000045,1.0305251360175,0.390368968458419,0.206343655520181,0.303225149684993,"positive"
0.586392092909806,0.45126407889831,0.154922909006816,0.834920529886218,0.35530410297556,0.174320736631122,0.314779275781559,"positive"
0.603397045378281,0.439478485282676,0.162887848089143,0.924181914696101,0.346086726880245,0.134791528654649,0.311290257693759,"positive"
0.576717774870019,0.450317778089118,0.176676879442846,1.01993646073059,0.381039559962974,0.251716405782047,0.332029714352981,"positive"
0.55219468943316,0.435698910050851,0.163813869582393,0.937701144584266,0.309479065762923,0.26094452070286,0.340004262095348,"positive"
0.554294287698135,0.431013353490409,0.163367049469637,0.984625400988965,0.358233307069142,0.278139360463485,0.322570777520384,"positive"
0.680043189777842,0.564489965393284,0.178130285158495,1.85160076807553,0.780902890767275,0.391574607700124,0.484246363621362,"positive"
0.586540635383433,0.468208785318071,0.156448079992513,0.965238205904993,0.375666444008056,0.162679861260436,0.239966220366469,"positive"
0.599799052251344,0.487676988001051,0.161710819414973,1.05721949012065,0.368048439932558,0.214495614172756,0.30566711116247,"positive"
0.702261841664423,0.581310604002685,0.231418375967076,1.93753464336154,0.8482405392867,0.424886502349119,0.53335183562278,"positive"
0.594558177565268,0.490314273770109,0.163491136363652,1.0006368010827,0.421422674556586,0.226812432114665,0.282086220146973,"positive"
0.602417482705262,0.472290703074755,0.1830928099214,1.04262749728132,0.476272943817421,0.234387194348838,0.412440926999511,"positive"
0.497157478111844,0.376307698131339,0.154335956645964,0.705679896891442,0.239444333353954,0.108178291650184,0.208729273203153,"positive"
0.672761617766308,0.573133869138287,0.233994711720214,2.00949319796967,0.842877554561382,0.421470919039259,0.501446731898079,"positive"
0.631166849668608,0.519531178893669,0.186656740642702,1.46385083462302,0.545646062808296,0.306438113489414,0.406235160105081,"positive"
0.653994164729851,0.515164199728556,0.177493844693153,1.38273668860677,0.588369912174313,0.302415746903825,0.402713625827925,"positive"
0.688121879815861,0.56663456256834,0.200535490576776,1.79540496728811,0.809757870511256,0.43573623325993,0.545383510759646,"positive"
0.557887237030417,0.439419070030594,0.154288666183514,0.840864745364087,0.282038455527017,0.141568939075969,0.32192512879876,"positive"
0.618532639773837,0.493820285266251,0.162309518471882,1.01261017853361,0.387969516853444,0.166993092129823,0.347224539790504,"positive"
0.614471670758953,0.479741597610781,0.176766846645453,1.21930444882932,0.471505626956696,0.252695984486524,0.378119600634933,"positive"
0.666649929968432,0.500570522841361,0.175500645912755,1.56372782149447,0.50746622662684,0.27906570863108,0.437799271370457,"positive"
0.543730758606025,0.413458945430071,0.148455824355568,1.0024975228088,0.300066675854316,0.22504260505586,0.375693728764504,"positive"
0.658106960461742,0.524385397855102,0.177286010647568,1.46039616521082,0.536549463503589,0.297459510880734,0.412387989701111,"positive"
0.70549292496694,0.553015608490157,0.211023657999401,1.86317540562991,0.743144155592434,0.438894402166128,0.511453376044627,"positive"
0.695854273625246,0.540141846724185,0.205922746293791,1.92388474978726,0.764958662117242,0.439742273711687,0.596305091152798,"positive"
0.438476941481939,0.351514397202232,0.115136571353206,0.541243482189461,0.136036798418231,0.0617279802447396,0.160650125795698,"positive"
0.598471784869845,0.513676371605188,0.157172747776992,0.986667548460509,0.386277335789187,0.164697549080454,0.34637477633491,"positive"
0.561158704316878,0.433438907445255,0.170819306607823,1.10020984371373,0.376015894186192,0.247922709619861,0.344268690760042,"positive"
0.578082802216418,0.439423966269511,0.152230925385602,1.06401016813046,0.418425757663245,0.234033141578266,0.257503194976474,"positive"
0.554546582845606,0.46716760422063,0.145684606091997,0.988819654019565,0.451048406095732,0.231505192771401,0.255393036770219,"positive"
0.517901858700666,0.420576218473285,0.133196430039548,0.880123480728877,0.259717655851803,0.144862697606755,0.262604419869659,"positive"
0.598759762196589,0.480491716522996,0.171757912421974,1.02280640386473,0.384238303544661,0.196389049858174,0.266273042016253,"positive"
0.520778145303262,0.384275103339095,0.168363242801277,0.774283467768383,0.281129513941099,0.139081841357974,0.28464511355012,"positive"
0.498337505634827,0.379800932930675,0.157731866300072,0.669671330794378,0.286406544572677,0.11971309611897,0.219255004873401,"positive"
0.666011217159276,0.526188038132613,0.177780106690312,1.56936941080993,0.494606004935606,0.272084759553766,0.412066835901747,"positive"
0.536660452574575,0.40481580514049,0.164962283777595,0.834961261330404,0.233556204500826,0.181536442426722,0.249949508959826,"positive"
0.605576578395772,0.469645970875676,0.182071749501083,1.15372946833657,0.401397646696457,0.248579724105507,0.432485154526186,"positive"
0.524378347341909,0.41967722639621,0.160716470633976,0.682950967946504,0.243163624318664,0.178733156751464,0.234626901274215,"positive"
0.436614184058872,0.352815867822832,0.119584560610635,0.366368524105927,0.110911329201603,0.0474412056294613,0.160782348413197,"positive"
0.526183233486633,0.408588958292971,0.165587552119083,0.810354705546596,0.239087668592515,0.163606572502384,0.260429742770266,"positive"
0.682728769371394,0.574477862727124,0.205659402905304,1.64268828806688,0.56814467234628,0.434445278682114,0.604962459847508,"positive"
0.591918372286743,0.507945823711827,0.162146824210782,1.14189432264621,0.38028732764695,0.160360552560653,0.342642928617066,"positive"
0.549324068078703,0.431226806476291,0.154286853549038,0.809054693164915,0.338102562195619,0.15463113811483,0.327666440528303,"positive"
0.568535015605079,0.467494151809152,0.150469886734437,0.928880362438738,0.431847598475382,0.199089021041006,0.287216683659756,"positive"
0.524918415867167,0.402109864613499,0.161280601142392,0.865664729944064,0.279936973439168,0.124762005413363,0.286615638436364,"positive"
0.691265198966736,0.550873687597107,0.203864367555628,1.69081530797224,0.691472768083049,0.418807901807659,0.499387638768569,"positive"
0.693567683681764,0.577486826894309,0.224434239313691,1.92741740977206,0.831950653269261,0.412279303047827,0.492737618480124,"positive"
0.693390599303341,0.578707683012495,0.233105403909277,1.86525612539632,0.887162847631783,0.421330910047288,0.50374855333004,"positive"
0.577315876121974,0.455079521773923,0.189736837214095,1.09616437149922,0.369481662458178,0.201991296706168,0.405750889202394,"positive"
0.687487646273244,0.597868079815104,0.19979030739235,1.83739784010545,0.55227345720734,0.442613580108472,0.597325681719993,"positive"
0.600912863857517,0.45768334879475,0.156720576872788,0.89049038037229,0.369601216483018,0.166365372286238,0.280486750643125,"positive"
0.635935261787063,0.504720235109688,0.188634638786613,1.41998907877218,0.573327626872521,0.293234222178213,0.397767500987681,"positive"
0.691613631416245,0.537853000566824,0.200465808120069,1.67449452616521,0.718418741640863,0.469613528379463,0.539728151396118,"positive"
0.511338939736812,0.381479680086295,0.15370858738542,0.604841822916615,0.278950445676965,0.130258209621275,0.246850240664173,"positive"
0.559445030266308,0.463983450673513,0.18875645146981,1.09182034267011,0.421692123273763,0.178993239217747,0.416864426421155,"positive"
0.669092340262373,0.564806416036501,0.197459629434911,1.87548760748842,0.758761858442647,0.467521412778874,0.586563953378485,"positive"
0.64838595430601,0.51930894073941,0.188841282578997,1.57683988204196,0.617250461159257,0.329245442491002,0.405077119496435,"positive"
0.526295718832476,0.442753791967305,0.162183372874128,0.999209172754081,0.315565746649355,0.277907560859661,0.326476598620105,"positive"
0.522035323107321,0.408721561606138,0.166308601186424,0.838111002538505,0.262868556420126,0.185730074700218,0.206038506929729,"positive"
0.603000067350653,0.454138409146035,0.162980116405022,0.904291791834342,0.331428167560528,0.159857518154442,0.320646502121127,"positive"
0.596044784277307,0.478320064174801,0.155535867189203,0.917558754102168,0.377729274009691,0.201653543435699,0.277379471457359,"positive"
0.540718824491937,0.403284252266498,0.166331034999765,0.854482629190203,0.29919123935858,0.167787264951653,0.22569910748649,"positive"
0.708010476465668,0.552411838964188,0.199626934987496,1.49514405733204,0.471152561255129,0.338279239759839,0.511650745048585,"positive"
0.498918378657453,0.378810102506388,0.157259195586306,0.667427895842586,0.257230895825541,0.133997280211759,0.236191775471704,"positive"
0.590924404014083,0.487299896848588,0.17736350275437,1.13369784167761,0.41867693832273,0.236703642377027,0.432404222626022,"positive"
0.515640421824156,0.370849164399358,0.154709181041617,0.657695624190908,0.286389332233531,0.117171366381406,0.211007860122117,"positive"
0.56044194780762,0.431342194438168,0.189621351154532,1.11484827199569,0.437544841346102,0.163769521166018,0.415821746509064,"positive"
0.55297833305867,0.456779618466608,0.185563308414676,1.10882400520718,0.391663019433804,0.163139545365466,0.388758848640246,"positive"
0.458495409258652,0.347797846554714,0.122752151090418,0.384298871966749,0.107423801728962,0.0756261220214046,0.178484536160479,"positive"
0.610549667094895,0.496151604354233,0.159261489319129,0.976597221887487,0.455667152498323,0.172674649168725,0.2998941552433,"positive"
0.698612960200899,0.557983507525768,0.171558463900841,1.82743147362064,0.793905863196188,0.382514305888067,0.439158087679276,"positive"
0.594079320261256,0.493266197572491,0.159963472445802,1.07520063440691,0.430146861042006,0.159268713102007,0.340673160433693,"positive"
0.641162166608629,0.52199027782031,0.185904521604298,1.47044795426925,0.650088126775372,0.367463711919759,0.453175176280047,"positive"
0.700913219952782,0.56825804230242,0.191320493983153,1.45051901809259,0.443826601930124,0.319749458039768,0.49266977117219,"positive"
0.576311513702127,0.444662015188772,0.178908694602538,1.02245520565032,0.433497050646756,0.214716668956923,0.344484238687721,"positive"
0.536400142423791,0.414784530445927,0.14136616839374,0.964935648851879,0.23275459086239,0.206187865354778,0.360388733412001,"positive"
0.44709681702896,0.35379393534222,0.113894908143757,0.326899659903225,0.106151240317037,0.0679780337768563,0.159443524725342,"positive"
0.619156874066503,0.474968970041242,0.168327497607879,0.970478453031467,0.43542022080794,0.222196894999997,0.290123713561511,"positive"
0.688151045937956,0.556793116278876,0.229960342840544,1.95013964305314,0.854520097079582,0.433654514151806,0.486499059220347,"positive"
0.586188680324427,0.448028748702819,0.157995279292224,0.963817684093484,0.313635569649002,0.157771956787342,0.317393939927909,"positive"
0.651407092250771,0.532664034095996,0.184405071513006,1.41052300529017,0.566128044819745,0.299033432884764,0.429027703399789,"positive"
0.551043859392213,0.411956410127092,0.143575828588986,1.00109462772806,0.239328646072878,0.225616794523194,0.331521170784492,"positive"
0.682418837098941,0.551450497468927,0.203332101190061,1.85048286056953,0.784087702776207,0.473582652264299,0.553432808638228,"positive"
0.67501122849565,0.552935214233016,0.177432767532919,1.70257472755847,0.76470891341403,0.404174790852319,0.480833627585989,"positive"
0.550141299641667,0.431600758420265,0.159227404605079,1.04203696171783,0.267457079645431,0.291005430553668,0.305957131389371,"positive"
0.69999307425101,0.542656790985357,0.206181507227661,1.70674374071634,0.797395380566158,0.442334435553033,0.473578555129298,"positive"
0.587533877715718,0.473611891215413,0.162429935639267,0.828444430459975,0.382577572752513,0.151523945033378,0.315275442117024,"positive"
0.680959251923894,0.566261211156569,0.232234178081734,1.94228759845803,0.861191780371687,0.422844583476481,0.505428854530735,"positive"
0.466781432031823,0.352365011428816,0.111894848284903,0.380957408587358,0.108898394495412,0.0573687022295425,0.160200625638564,"positive"
0.614090589277391,0.484183603306827,0.159213136156015,1.00258143143114,0.419137347609728,0.159007009649052,0.31622337014622,"positive"
0.69802504335413,0.552811468420292,0.206618452273081,1.37541130734673,0.509383441227549,0.329360066426032,0.525406871499232,"positive"
0.599361117765057,0.497817683526424,0.162663900718236,0.931724068666449,0.356420793638705,0.150249194369737,0.327202123694892,"positive"
0.527724216459752,0.432745266181416,0.159285425132229,1.01563994512193,0.359831499685821,0.238850272899872,0.339533451196706,"positive"
0.565593967395509,0.434231287240724,0.179437903296802,1.05998213711841,0.385808857054241,0.164427451165832,0.414746693003149,"positive"
0.695831230028508,0.565748634671003,0.176641912721164,1.76405583746467,0.80580909183143,0.409676963289284,0.465936551812891,"positive"
0.688923950744066,0.570562646821591,0.199418085201964,1.39193547791355,0.505765649644191,0.325445877936425,0.525133556925839,"positive"
0.672345611707579,0.586085329882355,0.203213855642032,1.72402217503896,0.610453191312965,0.445170185294863,0.606436049051899,"positive"
0.493704444020046,0.370286589645449,0.155982342394585,0.776859155985138,0.300112555799402,0.147107501930111,0.226984731708097,"positive"
0.53331214117007,0.416305138836176,0.14527080288853,0.970261612550442,0.273614106878756,0.207431931887825,0.318925510715792,"positive"
0.530035677179513,0.437825039585188,0.150614031461336,0.938922884665072,0.33552215263886,0.149178500078749,0.328167685575801,"positive"
0.694918835917433,0.547178068901975,0.200555835772852,1.89155428162123,0.740009546593853,0.473156246697043,0.548750503834449,"positive"
0.564959657104735,0.452024561145994,0.170755385233771,1.11680538021149,0.386491968679349,0.251748181914731,0.340727996096484,"positive"
0.52475455443083,0.384164634263185,0.172854994783191,0.798920112837751,0.332593573921453,0.160976653736511,0.305737141989406,"positive"
0.610822368694137,0.480488780927643,0.160279282127842,0.938622883521878,0.439380271256941,0.229317325416367,0.292929024381404,"positive"
0.58805396871714,0.443547619858418,0.15994329311935,0.842061024807415,0.356518907368715,0.171510040221713,0.302253098583276,"positive"
0.458758407350303,0.355174300230569,0.118180192453535,0.455124986570166,0.128826869931347,0.0717194041764686,0.158639316505717,"positive"
0.524747510148959,0.381120370213603,0.171018264816321,0.706908984735631,0.295555719412393,0.170276868801959,0.31000635415095,"positive"
0.583640783989509,0.468793483777983,0.16338151942705,0.975777383826466,0.362384616019195,0.216363258395949,0.271593944524975,"positive"
0.686346441467752,0.556317693637261,0.173115342330627,1.76737828509013,0.813559693762702,0.413547080542072,0.457346375423506,"positive"
0.595740304809755,0.479105257048545,0.180686777554066,1.15763579772778,0.505093943279547,0.244020046771437,0.416381273095914,"positive"
0.607404825966596,0.466405865863798,0.163896456082031,0.900183828881733,0.379533860477902,0.167523745784922,0.261677153654929,"positive"
0.559820712462109,0.454934778524893,0.192476635104128,1.05679138978078,0.372475658338804,0.178056677584327,0.407793853788587,"positive"
0.513373577167461,0.403533337338259,0.141010554307863,0.900344726941665,0.294888884768294,0.153704041894758,0.259930758024727,"positive"
0.552014443243969,0.436995414106537,0.146514617066539,0.920541344814702,0.325373858685162,0.15535635882612,0.33946510240901,"positive"
0.515464722999077,0.441292112545387,0.161711750710778,0.982158063973354,0.309920446975653,0.257778860429014,0.31970898554763,"positive"
0.631586488555887,0.519184369763769,0.19670566238584,1.51343268066032,0.632175119677319,0.358094442268968,0.403438872666768,"positive"
